label,scenario,detected,files_changed,files_before_detection,time_to_detect_sec,max_probability,entropy,uniform_dist,write_burst,dir_spread,rename_burst,suspicious_rename_target,header_mismatch,files_per_sec,extension_change_ratio,entropy_mean,entropy_max,uniform_mean,files_per_sec_max,write_burst_seen,dir_spread_seen,rename_burst_seen,suspicious_rename_target_seen,extension_change_ratio_max,header_mismatch_count
0,bulk_append,0,23,0,-1,0.3113,0.7482,1.4419,1,0,0,0,0,2.2,0,5.3221,5.9854,1.5973,2.3,1,0,0,0,0,0
0,mass_rename,0,57,0,-1,0.8179,0.9998,0.1978,1,0,0,0,0,2.8,0,4.9988,7.9982,1.5563,2.9,1,0,0,0,0,0
0,mass_zip,0,5,0,-1,0.0745,0.9998,0.2197,0,0,0,0,0,0.4,0,5.647,7.9982,0.6105,0.5,0,0,0,0,0,0
0,mass_move,1,49,31,0.419,0.998,0.9998,0.1943,1,1,0,0,1,4,0,4.8803,7.9982,1.5495,4.9,1,1,0,0,0,6
0,backup_snapshot,1,41,15,0.219,0.9554,0.9997,0.21,1,1,0,0,1,1.5,0,5.1285,7.9984,1.5037,4.1,1,1,0,0,0,4
0,mass_delete,0,29,0,-1,0.5439,0.7382,1.4599,1,0,0,0,0,3,0,4.8854,7.998,1.6392,3.1,1,0,0,0,0,2
0,temp_churn,0,50,0,-1,0.9044,0.6145,1.6152,1,0,0,0,0,4.9,0,4.7641,4.9163,1.7522,4.9,1,0,0,0,0,0
0,mass_extract,0,19,0,-1,0.7779,0.9998,0.1963,1,0,0,0,1,1,0,5.4676,7.9981,1.3192,1.9,1,1,0,0,0,2
0,mass_move,1,49,28,0.356,0.9911,0.9998,0.187,1,1,0,0,1,2.8,0,5.0496,7.9984,1.5378,4.9,1,1,0,0,0,3
0,mass_rename,1,57,31,0.45,0.9704,0.9998,0.2095,1,0,0,0,1,2.8,0,4.8056,7.9981,1.6339,2.9,1,0,0,0,0,3
0,mass_zip,0,5,0,-1,0.0826,0.9891,0.2197,0,0,0,0,0,0.5,0,5.9213,7.9986,0.6164,0.5,0,0,0,0,0,0
0,temp_churn,0,53,0,-1,0.8807,0.614,1.6128,1,0,0,0,0,4.7,0,4.7855,4.912,1.7488,4.7,1,0,0,0,0,0
0,mass_extract,0,19,0,-1,0.4703,0.7543,1.4741,1,1,0,0,0,1.8,0,4.9839,7.9783,1.3984,1.9,1,1,0,0,0,0
0,backup_snapshot,0,41,0,-1,0.9218,0.7374,1.4922,1,1,0,0,0,3.9,0,4.6264,7.9979,1.6539,4.1,1,1,0,0,0,0
